"geometry","annee","nom_iris","code_iris","type_iris","nom_commune","code_commune","nom_epci","code_epci","type_epci","nom_departement","code_departement","nom_region","code_region","domaine_de_tension","nb_sites_photovoltaique_enedis","energie_produite_annuelle_photovoltaique_enedis_mwh","nb_sites_eolien_enedis","energie_produite_annuelle_eolien_enedis_mwh","nb_sites_hydraulique_enedis","energie_produite_annuelle_hydraulique_enedis_mwh","nb_sites_bio_energie_enedis","energie_produite_annuelle_bio_energie_enedis_mwh","nb_sites_cogeneration_enedis","energie_produite_annuelle_cogeneration_enedis_mwh","nb_sites_autres_filieres_enedis","energie_produite_annuelle_autres_filieres_enedis_mwh","geom","geo_point_2d"
,2016,"Planty-Amandiers","860410102","H","Buxerolles","86041","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2012,"Gibauderie-Fontarnaud","862140104","H","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","10","24.559687669081384",,,,,,,,,,,,
,2016,"Montmidi","861940903","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2012,"Non affecté","86194xxxx","_","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Non affecté","86214xxxx","_","Saint-Benoît","86214","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Non affecté","86062xxxx","_","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2012,"Non affecté","86062xxxx","_","Chasseneuil-du-Poitou","86062","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Touffenet","861940601","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT > 36 kVA","1","77.34037896304406",,,,,,,,,,,,
,2012,"Touffenet","861940601","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"Non affecté","86041xxxx","_","Buxerolles","86041","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2011,"Saint-Eloi-Fraternité","861940605","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2015,"La Demi-Lune","861941001","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2011,"Montmidi","861940903","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA",,,,,,,,,,,,,,
,2016,"Couronneries-Europe","861940802","H","Poitiers","86194","CA Grand Poitiers","248600157","CA","Vienne","86","Nouvelle-Aquitaine","75","BT <= 36 kVA","20","101.97338790450101",,,,,,,,,,,,
