year,region_code,region_name,carrier,conso_totale_mwh,nb_sites,habitants
2015,84,Auvergne-Rhône-Alpes,Electricité,60383442.57000001,4852380.0,
2015,84,Auvergne-Rhône-Alpes,Gaz,51338784.94,1339678.0,
2015,93,Provence-Alpes-Côte d'Azur,Electricité,35984849.55,3407455.0,
2015,93,Provence-Alpes-Côte d'Azur,Gaz,33998059.269999996,754673.0,
2015,94,Corse,Electricité,1930382.0,283111.0,
2016,1,Guadeloupe,Electricité,1556115.0,212765.0,
2016,2,Martinique,Electricité,1438066.0,194276.0,
2016,3,Guyane,Electricité,825054.0,67598.0,
2016,4,La Réunion,Electricité,2708529.0,371445.0,
2016,6,Mayotte,Electricité,302686.88,42904.0,
2016,11,Île-de-France,Electricité,68131472.36999999,6508739.0,
2016,11,Île-de-France,Gaz,80018438.42,2621616.0,
2016,24,Centre-Val de Loire,Electricité,17627197.74,1526550.0,
2016,24,Centre-Val de Loire,Gaz,16919021.83,454562.0,
2016,27,Bourgogne-Franche-Comté,Electricité,19747379.41,1735007.0,
2016,27,Bourgogne-Franche-Comté,Gaz,20407571.95,508611.0,
2016,28,Normandie,Electricité,25610880.740000002,1965842.0,
2016,28,Normandie,Gaz,44634576.47,528881.0,
2016,32,Hauts-de-France,Electricité,44868181.5,3125370.0,
2016,32,Hauts-de-France,Gaz,70049739.72,1416620.0,
2016,44,Grand Est,Electricité,42201838.65,3142730.0,
2016,44,Grand Est,Gaz,74483655.61,1161098.0,
2016,52,Pays de la Loire,Electricité,24751386.97,2200045.0,
2016,52,Pays de la Loire,Gaz,23589026.63,606287.0,
2016,53,Bretagne,Electricité,21311260.01,2077509.0,
2016,53,Bretagne,Gaz,15824550.48,492933.0,
2016,75,Nouvelle-Aquitaine,Electricité,38145421.089999996,3819460.0,
2016,75,Nouvelle-Aquitaine,Gaz,28427494.73,1006915.0,
2016,76,Occitanie,Electricité,34461592.8,3898831.0,
2016,76,Occitanie,Gaz,19554273.54,882950.0,
2016,84,Auvergne-Rhône-Alpes,Electricité,61535139.278,4915986.0,
2016,84,Auvergne-Rhône-Alpes,Gaz,53357407.94,1345083.0,
2016,93,Provence-Alpes-Côte d'Azur,Electricité,36572964.31,3438656.0,
2016,93,Provence-Alpes-Côte d'Azur,Gaz,43021835.18,745248.0,
2016,94,Corse,Electricité,1896229.0,247929.0,
2017,1,Guadeloupe,Electricité,1518993.0,222382.0,
2017,2,Martinique,Electricité,1408712.0,202006.0,
2017,3,Guyane,Electricité,809025.0,71255.0,
2017,4,La Réunion,Electricité,2676543.0,393183.0,
2017,6,Mayotte,Electricité,308079.39999999997,43984.0,
2017,11,Île-de-France,Electricité,66971077.97,6567073.0,
2017,11,Île-de-France,Gaz,74486606.50999999,2598996.0,
2017,24,Centre-Val de Loire,Electricité,17369836.6,1536897.0,
2017,24,Centre-Val de Loire,Gaz,16690054.19,457384.0,
2017,27,Bourgogne-Franche-Comté,Electricité,19729787.4,1743859.0,
2017,27,Bourgogne-Franche-Comté,Gaz,19926534.64,508834.0,
2017,28,Normandie,Electricité,24959771.84,1980644.0,
2017,28,Normandie,Gaz,44981638.239999995,531214.0,
2017,32,Hauts-de-France,Electricité,44676499.35,3129579.0,
2017,32,Hauts-de-France,Gaz,73637721.97,1423069.0,
2017,44,Grand Est,Electricité,41719156.75,3189552.0,
2017,44,Grand Est,Gaz,77835945.69,1169119.0,
2017,52,Pays de la Loire,Electricité,24585046.32,2225925.0,
2017,52,Pays de la Loire,Gaz,23682947.09,613627.0,
2017,53,Bretagne,Electricité,21118254.88,2100797.0,
2017,53,Bretagne,Gaz,15797857.15,500717.0,
2017,75,Nouvelle-Aquitaine,Electricité,38311006.22,3869124.0,
2017,75,Nouvelle-Aquitaine,Gaz,28454502.810000002,1011215.0,
2017,76,Occitanie,Electricité,34660520.79,3930570.0,
2017,76,Occitanie,Gaz,19699102.05,887742.0,
2017,84,Auvergne-Rhône-Alpes,Electricité,61889247.47,4982775.0,
2017,84,Auvergne-Rhône-Alpes,Gaz,52481105.82,1351049.0,
2017,93,Provence-Alpes-Côte d'Azur,Electricité,36166393.08,3471382.0,
2017,93,Provence-Alpes-Côte d'Azur,Gaz,43954114.629999995,737801.0,
2017,94,Corse,Electricité,1951280.0,260548.0,
2018,1,Guadeloupe,Electricité,1465172.339,226086.0,
2018,2,Martinique,Electricité,1378608.406,203901.0,
2018,3,Guyane,Electricité,810271.0279999999,74053.0,
2018,4,La Réunion,Electricité,2726799.15,402340.0,
2018,6,Mayotte,Electricité,313948.0587,46661.0,
2018,11,Île-de-France,Electricité,66626601.439342186,6579304.0,
2018,11,Île-de-France,Gaz,72520045.212274,2578012.0,
2018,24,Centre-Val de Loire,Electricité,17225443.205694612,1544219.0,
2018,24,Centre-Val de Loire,Gaz,16250017.651087001,459419.0,
2018,27,Bourgogne-Franche-Comté,Electricité,19480389.403061215,1751560.0,
2018,27,Bourgogne-Franche-Comté,Gaz,19302915.65745,509172.0,
2018,28,Normandie,Electricité,24667869.238919605,1982364.0,
2018,28,Normandie,Gaz,47676538.870344,534357.0,
2018,32,Hauts-de-France,Electricité,43982879.80867781,3145188.0,
2018,32,Hauts-de-France,Gaz,70668745.129559,1430993.0,
2018,44,Grand Est,Electricité,40968284.36104268,3191273.0,
2018,44,Grand Est,Gaz,71047182.310278,1157234.0,
2018,52,Pays de la Loire,Electricité,24627310.814939406,2247238.0,
2018,52,Pays de la Loire,Gaz,21627367.770213,620628.0,
2018,53,Bretagne,Electricité,21190704.455843296,2121332.0,
2018,53,Bretagne,Gaz,16195129.625304,508334.0,
2018,75,Nouvelle-Aquitaine,Electricité,38269555.7175151,3891186.0,
2018,75,Nouvelle-Aquitaine,Gaz,28307886.5498464,1012166.0,
2018,76,Occitanie,Electricité,34832841.4014553,3957739.0,
2018,76,Occitanie,Gaz,19341626.8695652,886408.0,
2018,84,Auvergne-Rhône-Alpes,Electricité,61246696.065880984,5015534.0,
2018,84,Auvergne-Rhône-Alpes,Gaz,48461367.505655,1316443.0,
2018,93,Provence-Alpes-Côte d'Azur,Electricité,36000123.97361753,3496246.0,
2018,93,Provence-Alpes-Côte d'Azur,Gaz,37500016.780288,730161.0,
2018,94,Corse,Electricité,2008393.4729999998,266407.0,
2019,1,Guadeloupe,Electricité,1466943.151,215320.0,
2019,2,Martinique,Electricité,1372161.483,199934.0,
2019,3,Guyane,Electricité,822579.354,72839.0,
2019,4,La Réunion,Electricité,2748261.806,398401.0,
2019,6,Mayotte,Electricité,338532.81700000004,48158.0,
2019,11,Île-de-France,Electricité,65372300.78976801,6650927.0,
2019,11,Île-de-France,Gaz,72228083.28363,2558834.0,
2019,24,Centre-Val de Loire,Electricité,16910319.07413564,1551283.0,
2019,24,Centre-Val de Loire,Gaz,15608879.02906,463040.0,
2019,27,Bourgogne-Franche-Comté,Electricité,19281656.590165876,1752499.0,
2019,27,Bourgogne-Franche-Comté,Gaz,19323082.21886,509383.0,
