Date,nom_region,filiere_conso,conso_twh,code_region,nb_sites,habitants,filiere_prod,prod_twh,conso_region,prod_region,indice_pondere,indice_par_habitant,classe
2014-09-01,Île-de-France,Consommation brute,4.927456356978,11,127940526,86222010,Solaire,0.007394077,5703.080341204099,82.1480545,-0.9855958447741845,-0.057062718440198744,Très déficitaire
2014-09-01,Île-de-France,Consommation brute,4.927456356978,11,127940526,86222010,Hydraulique,0.004613762,5703.080341204099,82.1480545,-0.9855958447741845,-0.05709496444095887,Très déficitaire
2014-09-01,Île-de-France,Consommation brute,4.927456356978,11,127940526,86222010,Eolien,0.001554756,5703.080341204099,82.1480545,-0.9855958447741845,-0.057130442690654044,Très déficitaire
2014-09-01,Île-de-France,Consommation brute,4.927456356978,11,127940526,86222010,Thermique fossile,0.111608457,5703.080341204099,82.1480545,-0.9855958447741845,-0.05585404353224891,Très déficitaire
2014-09-01,Île-de-France,Consommation brute,4.927456356978,11,127940526,86222010,Thermique renouvelable et déchets,0.077794715,5703.080341204099,82.1480545,-0.9855958447741845,-0.056246214185658644,Très déficitaire
2014-09-01,Île-de-France,Consommation brute,4.927456356978,11,127940526,86222010,Energie produite,0.202965768,5703.080341204099,82.1480545,-0.9855958447741845,-0.0547944844823033,Très déficitaire
2014-10-01,Île-de-France,Consommation brute,5.605546976612,11,127940526,86222010,Autre,-4.78e-20,5703.080341204099,82.1480545,-0.9855958447741845,-0.0650129471188621,Très déficitaire
2014-10-01,Île-de-France,Consommation brute,5.605546976612,11,127940526,86222010,Solaire,0.00408071,5703.080341204099,82.1480545,-0.9855958447741845,-0.064965619180207,Très déficitaire
2014-10-01,Île-de-France,Consommation brute,5.605546976612,11,127940526,86222010,Hydraulique,0.005938675,5703.080341204099,82.1480545,-0.9855958447741845,-0.06494407056402418,Très déficitaire
2014-10-01,Île-de-France,Consommation brute,5.605546976612,11,127940526,86222010,Eolien,0.002616291,5703.080341204099,82.1480545,-0.9855958447741845,-0.06498260346299048,Très déficitaire
2014-10-01,Île-de-France,Consommation brute,5.605546976612,11,127940526,86222010,Thermique fossile,0.176400412,5703.080341204099,82.1480545,-0.9855958447741845,-0.06296706101623008,Très déficitaire
2014-10-01,Île-de-France,Consommation brute,5.605546976612,11,127940526,86222010,Thermique renouvelable et déchets,0.091200805,5703.080341204099,82.1480545,-0.9855958447741845,-0.06395520322029143,Très déficitaire
2014-10-01,Île-de-France,Consommation brute,5.605546976612,11,127940526,86222010,Energie produite,0.280236893,5703.080341204099,82.1480545,-0.9855958447741845,-0.06176276896829475,Très déficitaire
2014-11-01,Île-de-France,Consommation brute,6.345869904918,11,127940526,86222010,Autre,-1.3e-19,5703.080341204099,82.1480545,-0.9855958447741845,-0.07359918778184363,Très déficitaire
2014-11-01,Île-de-France,Consommation brute,6.345869904918,11,127940526,86222010,Solaire,0.002239658,5703.080341204099,82.1480545,-0.9855958447741845,-0.0735732123029607,Très déficitaire
2014-11-01,Île-de-France,Consommation brute,6.345869904918,11,127940526,86222010,Hydraulique,0.00581355,5703.080341204099,82.1480545,-0.9855958447741845,-0.07353176242258791,Très déficitaire
2014-11-01,Île-de-France,Consommation brute,6.345869904918,11,127940526,86222010,Eolien,0.002681983,5703.080341204099,82.1480545,-0.9855958447741845,-0.07356808223234415,Très déficitaire
2014-11-01,Île-de-France,Consommation brute,6.345869904918,11,127940526,86222010,Thermique fossile,0.320090342,5703.080341204099,82.1480545,-0.9855958447741845,-0.06988679065725792,Très déficitaire
2014-11-01,Île-de-France,Consommation brute,6.345869904918,11,127940526,86222010,Thermique renouvelable et déchets,0.087364527,5703.080341204099,82.1480545,-0.9855958447741845,-0.07258593690773388,Très déficitaire
2014-11-01,Île-de-France,Consommation brute,6.345869904918,11,127940526,86222010,Energie produite,0.41819006,5703.080341204099,82.1480545,-0.9855958447741845,-0.06874903339551003,Très déficitaire
2014-12-01,Île-de-France,Consommation brute,7.969688055505,11,127940526,86222010,Autre,-2.84e-19,5703.080341204099,82.1480545,-0.9855958447741845,-0.09243217660438442,Très déficitaire
2014-12-01,Île-de-France,Consommation brute,7.969688055505,11,127940526,86222010,Solaire,0.001151801,5703.080341204099,82.1480545,-0.9855958447741845,-0.09241881805475191,Très déficitaire
2014-12-01,Île-de-France,Consommation brute,7.969688055505,11,127940526,86222010,Hydraulique,0.004351787,5703.080341204099,82.1480545,-0.9855958447741845,-0.09238170472371267,Très déficitaire
2014-12-01,Île-de-France,Consommation brute,7.969688055505,11,127940526,86222010,Eolien,0.004273956,5703.080341204099,82.1480545,-0.9855958447741845,-0.09238260740505819,Très déficitaire
2014-12-01,Île-de-France,Consommation brute,7.969688055505,11,127940526,86222010,Thermique fossile,0.481684794,5703.080341204099,82.1480545,-0.9855958447741845,-0.08684561240807306,Très déficitaire
2014-12-01,Île-de-France,Consommation brute,7.969688055505,11,127940526,86222010,Thermique renouvelable et déchets,0.09470543,5703.080341204099,82.1480545,-0.9855958447741845,-0.09133378618179976,Très déficitaire
2014-12-01,Île-de-France,Consommation brute,7.969688055505,11,127940526,86222010,Energie produite,0.586167768,5703.080341204099,82.1480545,-0.9855958447741845,-0.08563382235585786,Très déficitaire
2015-01-01,Île-de-France,Consommation brute,8.50106917118,11,127940526,86222010,Autre,1.72e-19,5703.080341204099,82.1480545,-0.9855958447741845,-0.09859511708414126,Très déficitaire
2015-01-01,Île-de-France,Consommation brute,8.50106917118,11,127940526,86222010,Solaire,0.001538583,5703.080341204099,82.1480545,-0.9855958447741845,-0.09857727264975612,Très déficitaire
2015-01-01,Île-de-France,Consommation brute,8.50106917118,11,127940526,86222010,Hydraulique,0.002077706,5703.080341204099,82.1480545,-0.9855958447741845,-0.09857101991915986,Très déficitaire
2015-01-01,Île-de-France,Consommation brute,8.50106917118,11,127940526,86222010,Eolien,0.004955532,5703.080341204099,82.1480545,-0.9855958447741845,-0.09853764298906972,Très déficitaire
2015-01-01,Île-de-France,Consommation brute,8.50106917118,11,127940526,86222010,Thermique fossile,0.497360694,5703.080341204099,82.1480545,-0.9855958447741845,-0.0928267443217805,Très déficitaire
2015-01-01,Île-de-France,Consommation brute,8.50106917118,11,127940526,86222010,Thermique renouvelable et déchets,0.093806043,5703.080341204099,82.1480545,-0.9855958447741845,-0.0975071577220248,Très déficitaire
2015-01-01,Île-de-France,Consommation brute,8.50106917118,11,127940526,86222010,Energie produite,0.599738558,5703.080341204099,82.1480545,-0.9855958447741845,-0.0916393692652259,Très déficitaire
2015-02-01,Île-de-France,Consommation brute,7.710683798605,11,127940526,86222010,Autre,-5.69e-20,5703.080341204099,82.1480545,-0.9855958447741845,-0.08942825386006427,Très déficitaire
2015-02-01,Île-de-France,Consommation brute,7.710683798605,11,127940526,86222010,Solaire,0.003066745,5703.080341204099,82.1480545,-0.9855958447741845,-0.08939268585370488,Très déficitaire
2015-02-01,Île-de-France,Consommation brute,7.710683798605,11,127940526,86222010,Hydraulique,0.002286306,5703.080341204099,82.1480545,-0.9855958447741845,-0.08940173735923113,Très déficitaire
2015-02-01,Île-de-France,Consommation brute,7.710683798605,11,127940526,86222010,Eolien,0.004224572,5703.080341204099,82.1480545,-0.9855958447741845,-0.08937925741472508,Très déficitaire
2015-02-01,Île-de-France,Consommation brute,7.710683798605,11,127940526,86222010,Thermique fossile,0.593456181,5703.080341204099,82.1480545,-0.9855958447741845,-0.0825453688403344,Très déficitaire
2015-02-01,Île-de-France,Consommation brute,7.710683798605,11,127940526,86222010,Thermique renouvelable et déchets,0.081985155,5703.080341204099,82.1480545,-0.9855958447741845,-0.08847739276322833,Très déficitaire
2015-02-01,Île-de-France,Consommation brute,7.710683798605,11,127940526,86222010,Energie produite,0.685018959,5703.080341204099,82.1480545,-0.9855958447741845,-0.08148342679096672,Très déficitaire
2015-03-01,Île-de-France,Consommation brute,7.349275073519,11,127940526,86222010,Autre,-2.15e-19,5703.080341204099,82.1480545,-0.9855958447741845,-0.08523664750472645,Très déficitaire
2015-03-01,Île-de-France,Consommation brute,7.349275073519,11,127940526,86222010,Solaire,0.005437119,5703.080341204099,82.1480545,-0.9855958447741845,-0.08517358797967016,Très déficitaire
2015-03-01,Île-de-France,Consommation brute,7.349275073519,11,127940526,86222010,Hydraulique,0.004125536,5703.080341204099,82.1480545,-0.9855958447741845,-0.08518879967561648,Très déficitaire
2015-03-01,Île-de-France,Consommation brute,7.349275073519,11,127940526,86222010,Eolien,0.003825026,5703.080341204099,82.1480545,-0.9855958447741845,-0.08519228498058674,Très déficitaire
2015-03-01,Île-de-France,Consommation brute,7.349275073519,11,127940526,86222010,Thermique fossile,0.491224394,5703.080341204099,82.1480545,-0.9855958447741845,-0.07953944334537087,Très déficitaire
2015-03-01,Île-de-France,Consommation brute,7.349275073519,11,127940526,86222010,Thermique renouvelable et déchets,0.086896711,5703.080341204099,82.1480545,-0.9855958447741845,-0.08422882234500217,Très déficitaire
2015-03-01,Île-de-France,Consommation brute,7.349275073519,11,127940526,86222010,Energie produite,0.591508787,5703.080341204099,82.1480545,-0.9855958447741845,-0.07837634829574258,Très déficitaire
2015-04-01,Île-de-France,Consommation brute,5.627491274927,11,127940526,86222010,Autre,3.69e-19,5703.080341204099,82.1480545,-0.9855958447741845,-0.06526745635977403,Très déficitaire
2015-04-01,Île-de-France,Consommation brute,5.627491274927,11,127940526,86222010,Solaire,0.008214703,5703.080341204099,82.1480545,-0.9855958447741845,-0.06517218250800462,Très déficitaire
2015-04-01,Île-de-France,Consommation brute,5.627491274927,11,127940526,86222010,Hydraulique,0.00496674,5703.080341204099,82.1480545,-0.9855958447741845,-0.06520985227469181,Très déficitaire
2015-04-01,Île-de-France,Consommation brute,5.627491274927,11,127940526,86222010,Eolien,0.002959761,5703.080341204099,82.1480545,-0.9855958447741845,-0.06523312915028309,Très déficitaire
2015-04-01,Île-de-France,Consommation brute,5.627491274927,11,127940526,86222010,Thermique fossile,0.050410618,5703.080341204099,82.1480545,-0.9855958447741845,-0.06468279569134379,Très déficitaire
2015-04-01,Île-de-France,Consommation brute,5.627491274927,11,127940526,86222010,Thermique renouvelable et déchets,0.082644593,5703.080341204099,82.1480545,-0.9855958447741845,-0.0643089471229794,Très déficitaire
2015-04-01,Île-de-France,Consommation brute,5.627491274927,11,127940526,86222010,Energie produite,0.149196415,5703.080341204099,82.1480545,-0.9855958447741845,-0.06353708130820658,Très déficitaire
2015-05-01,Île-de-France,Consommation brute,5.227687942029,11,127940526,86222010,Autre,-2.29e-19,5703.080341204099,82.1480545,-0.9855958447741845,-0.06063055062192357,Très déficitaire
2015-05-01,Île-de-France,Consommation brute,5.227687942029,11,127940526,86222010,Solaire,0.008762019,5703.080341204099,82.1480545,-0.9855958447741845,-0.06052892901741678,Très déficitaire
2015-05-01,Île-de-France,Consommation brute,5.227687942029,11,127940526,86222010,Hydraulique,0.00343586,5703.080341204099,82.1480545,-0.9855958447741845,-0.060590701632089065,Très déficitaire
2015-05-01,Île-de-France,Consommation brute,5.227687942029,11,127940526,86222010,Eolien,0.002823627,5703.080341204099,82.1480545,-0.9855958447741845,-0.06059780229003012,Très déficitaire
2015-05-01,Île-de-France,Consommation brute,5.227687942029,11,127940526,86222010,Thermique fossile,0.010160597,5703.080341204099,82.1480545,-0.9855958447741845,-0.0605127083563582,Très déficitaire
2015-05-01,Île-de-France,Consommation brute,5.227687942029,11,127940526,86222010,Thermique renouvelable et déchets,0.072223181,5703.080341204099,82.1480545,-0.9855958447741845,-0.05979290857437678,Très déficitaire
2015-05-01,Île-de-France,Consommation brute,5.227687942029,11,127940526,86222010,Energie produite,0.097405284,5703.080341204099,82.1480545,-0.9855958447741845,-0.05950084738257668,Très déficitaire
